Epoch  74: train BCE=0.562850, test BCE=0.568304, exact word=0.011, paper score=0.919
Epoch  75: train BCE=0.562438, test BCE=0.567838, exact word=0.012, paper score=0.920
Epoch  76: train BCE=0.562080, test BCE=0.567485, exact word=0.012, paper score=0.920
Epoch  77: train BCE=0.561667, test BCE=0.567077, exact word=0.012, paper score=0.920
Epoch  78: train BCE=0.561326, test BCE=0.566708, exact word=0.012, paper score=0.920
Epoch  79: train BCE=0.561000, test BCE=0.566408, exact word=0.012, paper score=0.920
Epoch  80: train BCE=0.560693, test BCE=0.566145, exact word=0.012, paper score=0.920
Epoch  81: train BCE=0.560296, test BCE=0.565773, exact word=0.012, paper score=0.920
Epoch  82: train BCE=0.560041, test BCE=0.565526, exact word=0.012, paper score=0.922
Epoch  83: train BCE=0.559746, test BCE=0.565213, exact word=0.012, paper score=0.921
Epoch  84: train BCE=0.559654, test BCE=0.565137, exact word=0.012, paper score=0.921
Epoch  85: train BCE=0.559308, test BCE=0.564822, exact word=0.012, paper score=0.921
Epoch  86: train BCE=0.559119, test BCE=0.564634, exact word=0.012, paper score=0.920
Epoch  87: train BCE=0.558798, test BCE=0.564335, exact word=0.012, paper score=0.920
Epoch  88: train BCE=0.558546, test BCE=0.564059, exact word=0.012, paper score=0.920
Epoch  89: train BCE=0.558372, test BCE=0.563839, exact word=0.012, paper score=0.920
Epoch  90: train BCE=0.558228, test BCE=0.563680, exact word=0.012, paper score=0.920
Epoch  91: train BCE=0.557967, test BCE=0.563350, exact word=0.012, paper score=0.918
Epoch  92: train BCE=0.557659, test BCE=0.563002, exact word=0.012, paper score=0.918
Epoch  93: train BCE=0.557453, test BCE=0.562806, exact word=0.012, paper score=0.918
Epoch  94: train BCE=0.557231, test BCE=0.562613, exact word=0.012, paper score=0.919
Epoch  95: train BCE=0.557129, test BCE=0.562487, exact word=0.012, paper score=0.920
Epoch  96: train BCE=0.556939, test BCE=0.562240, exact word=0.012, paper score=0.920
Epoch  97: train BCE=0.556832, test BCE=0.562117, exact word=0.012, paper score=0.920
Epoch  98: train BCE=0.556729, test BCE=0.562021, exact word=0.012, paper score=0.919
Epoch  99: train BCE=0.556618, test BCE=0.561942, exact word=0.010, paper score=0.918
Epoch 100: train BCE=0.556400, test BCE=0.561726, exact word=0.010, paper score=0.918
