experiment_id,run,status,device,torch_version,cuda_version,alpha,learning_rate,window,layers,batch_size,max_sentences,sampling,sentences,examples,development_examples,test_examples,validation_bce,validation_bce_sd,validation_top1,validation_top1_sd,validation_bit_accuracy,validation_exact_word_accuracy,validation_paper_similarity_accuracy,test_bce,test_top1,test_bit_accuracy,test_exact_word_accuracy,test_paper_similarity_accuracy,duration_seconds
10,train-causal-l8-20260914T130634Z-gphqawe5,complete,cuda,2.14.0+cu130,13.0,1.0,0.0001,4,8,64,,uniform,202172,1582956,1266418,316538,0.6815045179708168,0.00018038667976482035,1.9743492544857213e-06,2.7921514925549166e-06,0.5838236613430292,1.9743492544857213e-06,0.8971177560857175,0.6812570125101791,0.0,0.5841309506509261,0.0,0.8973582950546222,4330.672089
11,train-causal-l8-20260914T141848Z-1_fhbmqg,complete,cuda,2.14.0+cu130,13.0,1.0,0.0001,8,8,64,,uniform,202172,1582956,1266418,316538,0.68189579277386,0.00018787963335379235,1.9743492544857213e-06,2.7921514925549166e-06,0.5839039417956423,1.9743492544857213e-06,0.8961112718398493,0.6816496659792407,0.0,0.5840431706236128,0.0,0.8960061667161605,7475.174595
12,train-causal-l8-20260914T162325Z-bg33h1n_,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,2,8,64,,uniform,202172,1582956,1266418,316538,0.6546856527515764,0.0007063949523172587,1.9743492544857213e-06,2.7921514925549166e-06,0.5858498958122771,1.9743492544857213e-06,0.9010497887911333,0.6545056806257411,3.159178360891899e-06,0.5863773521211175,3.159178360891899e-06,0.9016800510523223,2377.455608
13,train-causal-l8-20260914T170306Z-v3vr71ja,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,4,8,64,,uniform,202172,1582956,1266418,316538,0.6544517883595092,0.0005508675542476222,1.9743492544857213e-06,2.7921514925549166e-06,0.5848991604111609,1.9743492544857213e-06,0.8997107883837288,0.6543434794994568,0.0,0.5852337295544746,0.0,0.8996423810095471,4193.845734
14,train-causal-l8-20260914T181302Z-j7mmf2e8,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,8,8,64,,uniform,202172,1582956,1266418,316538,0.6553296349751656,0.0006219503554875533,2.3724690533469047e-05,5.5383417802323245e-06,0.5852884864123232,2.3724690533469047e-05,0.8982793120562638,0.6551317201857516,1.2636713443567596e-05,0.5856595416664034,1.2636713443567596e-05,0.8986314439340616,7249.184424
15,train-causal-l8-20260914T130634Z-kplciwz8,complete,cuda,2.14.0+cu130,13.0,1.0,0.001,2,8,64,,uniform,202172,1582956,1266418,316538,0.5660563430873149,0.0041323225390780495,0.003876679427435057,0.0005124229665036714,0.7271228826828964,0.003876679427435057,0.9860913205627613,0.5690649044733038,0.004843020427247282,0.7284505674335647,0.004843020427247282,0.9863586678376688,2450.786925
16,train-causal-l8-20260914T134727Z-b21_om1z,complete,cuda,2.14.0+cu130,13.0,1.0,0.001,4,8,64,,uniform,202172,1582956,1266418,316538,0.566635035014091,0.003802564595562166,0.0030381058667411504,0.00044894576392992666,0.7265982731359665,0.0030381058667411504,0.9857932978236688,0.569795408984356,0.0034624594835375214,0.7292132833521229,0.0034624594835375214,0.9864534431884955,4317.837451
17,train-causal-l8-20260914T145928Z-0noua12l,complete,cuda,2.14.0+cu130,13.0,1.0,0.001,8,8,64,,uniform,202172,1582956,1266418,316538,0.5686566296276342,0.003906656914037828,0.002628687582718661,0.0004004496575672368,0.7227864706380487,0.002628687582718661,0.9818440289664288,0.5714729851697041,0.0033392515274627377,0.7253464490383912,0.0033392515274627377,0.9827414086144476,7406.366557
18,train-causal-l8-20260914T170257Z-gsa_sfwd,complete,cuda,2.14.0+cu130,13.0,3.0,0.0001,2,8,64,,uniform,202172,1582956,1266418,316538,0.6820168102441175,0.00022637568132678165,1.9743492544857213e-06,2.7921514925549166e-06,0.5855981371501252,1.9743492544857213e-06,0.9010772606834021,0.6817367928803753,3.159178360891899e-06,0.5860961852469981,3.159178360891899e-06,0.9017305979060966,2401.960636
19,train-causal-l8-20260914T174302Z-o6zhddwx,complete,cuda,2.14.0+cu130,13.0,3.0,0.0001,4,8,64,,uniform,202172,1582956,1266418,316538,0.6816018399725997,0.00018629037444368432,1.9743492544857213e-06,2.7921514925549166e-06,0.5837089536251128,1.9743492544857213e-06,0.8971610162721262,0.6813487795971586,0.0,0.5839768278780341,0.0,0.8972287687418257,4175.817649
20,train-causal-l8-20260914T130635Z-au3scv1s,complete,cuda,2.14.0+cu130,13.0,3.0,0.0001,8,8,64,,uniform,202172,1582956,1266418,316538,0.6820286057890513,0.00018800810282390665,1.9743492544857213e-06,2.7921514925549166e-06,0.5840207347096715,1.9743492544857213e-06,0.8966015474447627,0.6817767345357252,0.0,0.5842555125405842,0.0,0.8968275530899924,7565.002945
21,train-causal-l8-20260914T151242Z-xkccekte,complete,cuda,2.14.0+cu130,13.0,3.0,0.0003,2,8,64,,uniform,202172,1582956,1266418,316538,0.6547048028462201,0.0007133432245773031,1.9743492544857213e-06,2.7921514925549166e-06,0.5856978632599281,1.9743492544857213e-06,0.9007805883035549,0.6545131127818848,3.159178360891899e-06,0.5861902836310332,3.159178360891899e-06,0.901484181993947,2373.869405
22,train-causal-l8-20260914T155219Z-u8pitgwb,complete,cuda,2.14.0+cu130,13.0,3.0,0.0003,4,8,64,,uniform,202172,1582956,1266418,316538,0.6545344817470442,0.0005683551021915267,1.9743492544857213e-06,2.7921514925549166e-06,0.584870785611611,1.9743492544857213e-06,0.8997383122751648,0.6544135467973077,0.0,0.5851852136010752,0.0,0.899557083193803,4186.516841
23,train-causal-l8-20260914T170208Z-pzeaacwb,complete,cuda,2.14.0+cu130,13.0,3.0,0.0003,8,8,64,,uniform,202172,1582956,1266418,316538,0.6553845690662863,0.0006306578590378435,5.929547659385242e-06,2.782959251579415e-06,0.5850903701576599,5.929547659385242e-06,0.8983184220473897,0.6551791541523234,6.318356721783798e-06,0.5855108346278443,6.318356721783798e-06,0.8988904965596548,7361.348376
24,train-causal-l8-20260914T190452Z-m4cqvcjl,complete,cuda,2.14.0+cu130,13.0,3.0,0.001,2,8,64,,uniform,202172,1582956,1266418,316538,0.566081561862063,0.00414858047410952,0.004201597187166273,0.0010221847958374285,0.7270672262311983,0.004201597187166273,0.986069596221066,0.5690478386898563,0.004827224535442822,0.72820618242179,0.004827224535442822,0.9862228231681505,2338.204522
25,train-causal-l8-20260914T130635Z-mzje_14y,complete,cuda,2.14.0+cu130,13.0,3.0,0.001,4,8,64,,uniform,202172,1582956,1266418,316538,0.5666626945238957,0.003841988173336724,0.003222220839394784,0.0006199748075308901,0.7266304112696648,0.003222220839394784,0.9858268942604747,0.569793491280891,0.003364524954349873,0.7295556028930853,0.003364524954349873,0.9866461530685099,4251.467994
26,train-causal-l8-20260914T141729Z-b3rw5f8s,complete,cuda,2.14.0+cu130,13.0,3.0,0.001,8,8,64,,uniform,202172,1582956,1266418,316538,0.5684502837243453,0.003957305136904589,0.0029694001364857624,0.0008878742749605539,0.7232841176093359,0.0029694001364857624,0.9823917946959756,0.5712583785060262,0.0033676841327107644,0.7255608218557374,0.0033676841327107644,0.9830541672721759,7450.067996
27,train-causal-l2-20260914T162141Z-0bz_ju9u,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,2,2,16,,uniform,202172,1582956,1266418,316538,0.6147303129240906,0.0005026235437766495,0.0007811679347074756,1.5799205657874888e-05,0.6864614713024044,0.0007811679347074756,0.9840166012528779,0.6177009058672419,0.0009130025462977589,0.6867288784104458,0.0009130025462977589,0.984191471482097,1868.068568
28,train-causal-l2-20260914T165252Z-r36kpb6t,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,8,2,16,,uniform,202172,1582956,1266418,316538,0.6148251138442165,0.0006309625625157367,0.000816738720767859,6.492045077686951e-06,0.6842077054436146,0.000816738720767859,0.9806110389284449,0.6176154591335923,0.0009667085784329212,0.6845131661014746,0.0009667085784329212,0.9805015511565752,6569.828005
29,train-causal-l2-20260914T184224Z-tx5fzpmk,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,2,2,64,,uniform,202172,1582956,1266418,316538,0.6804095591131163,0.0006795138944931346,3.948698508971443e-06,5.584302985109833e-06,0.5814482824180163,3.948698508971443e-06,0.8712055889809709,0.6800373140312685,0.0,0.5817457709884527,0.0,0.8711434330159412,1727.003799
30,train-causal-l2-20260914T130635Z-p1mmxp28,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,8,2,64,,uniform,202172,1582956,1266418,316538,0.6787276433094978,0.0007357493865081432,3.948698508971443e-06,5.584302985109833e-06,0.5803149213366721,3.948698508971443e-06,0.8687910476030625,0.6784311258866031,0.0,0.5805617560699099,0.0,0.8686855922511674,6531.969903
31,train-causal-l8-20260914T145529Z-1akmvihe,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,2,8,16,,uniform,202172,1582956,1266418,316538,0.5452849491955298,0.001124304515548586,0.004790276640691772,0.0012334162878621672,0.7259723576776844,0.004790276640691772,0.9860974061079231,0.5412561056981678,0.005929777783394095,0.7290126755262063,0.005929777783394095,0.9862575741301203,2952.062187
32,train-causal-l8-20260914T154444Z-1fom_qkz,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,8,8,16,,uniform,202172,1582956,1266418,316538,0.5485956397138252,0.0010661859452799128,0.0029828354682997563,0.0011649017040488618,0.722792721144468,0.0029828354682997563,0.9822286630768814,0.5443164840757213,0.0035256430507553597,0.7259044953302831,0.0035256430507553597,0.9830573264505368,8416.964502
33,train-causal-l8-20260914T180503Z-2qa281iv,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,2,8,256,,uniform,202172,1582956,1266418,316538,0.6848545431377631,0.0009011013738898625,1.9743492544857213e-06,2.7921514925549166e-06,0.585696968940957,1.9743492544857213e-06,0.9010002285629974,0.6838788403289244,3.159178360891899e-06,0.5861765186396036,3.159178360891899e-06,0.9016642551605178,2171.786307
34,train-causal-l8-20260914T184117Z-to08d_js,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,8,8,256,,uniform,202172,1582956,1266418,316538,0.6846826292428632,0.0008630403548619125,1.9743492544857213e-06,2.7921514925549166e-06,0.582704034117729,1.9743492544857213e-06,0.8929472886131198,0.6837562462990814,6.318356721783798e-06,0.5839481696171889,6.318356721783798e-06,0.8958671628682812,6883.265574
35,train-causal-l64-20260914T185152Z-tvu7ihvn,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,2,64,64,,uniform,202172,1582956,1266418,316538,0.6618601038416786,0.0010270103574006656,0.011210363139042848,0.000530497367950432,0.7629257913371597,0.011210363139042848,0.9866947775648773,0.6627919569480755,0.01067802285981462,0.7571557646430174,0.01067802285981462,0.9869304791209902,7741.24698
36,train-causal-l64-20260914T210056Z-yxx_70hb,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,8,64,64,,uniform,202172,1582956,1266418,316538,0.6628193701255007,0.001121419949144179,0.010649101959510944,0.00020737994305600383,0.7530295612088129,0.010649101959510944,0.9822684750567676,0.6636883630389395,0.009126866284616697,0.7477915086701393,0.009126866284616697,0.9823654663895014,14621.8534
37,train-causal-l64-20260915T010440Z-3ux8ihde,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,2,64,256,,uniform,202172,1582956,1266418,316538,0.6763396007969081,0.00038516438031631833,9.692511055578654e-05,1.9802443195198448e-05,0.6436645001128547,9.692511055578654e-05,0.9644204228890372,0.6760037577752998,9.161617246586507e-05,0.6451890677986755,9.161617246586507e-05,0.9661620405764869,6714.981957
38,train-causal-l64-20260915T025637Z-sz0jclx_,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,8,64,256,,uniform,202172,1582956,1266418,316538,0.6768684166333583,0.00037646672910303624,0.00013249589661616993,2.4888075403633615e-06,0.6407127924014446,0.00013249589661616993,0.9569329918124131,0.6765432625573217,0.00016743645312727065,0.64269015771521,0.00016743645312727065,0.9593097827117123,14036.831123
40,train-causal-l8-20260914T185303Z-wbse4rxi,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,4,8,64,5000,balanced,5000,37867,30331,7536,0.6545647608765792,0.0009665987716025377,0.0,0.0,0.5787097691507002,0.0,0.872623295554215,0.6568006404726077,0.0,0.5771913861085836,0.0,0.8642515923566879,2033.774622
41,train-causal-l8-20260914T192659Z-wb4r8_p5,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,4,8,64,20000,uniform,20000,156459,125435,31024,0.6531741686668766,0.0018805264730722018,0.0,0.0,0.5850838225988992,0.0,0.8997889982786809,0.6545690258756387,0.0,0.5847615670817063,0.0,0.8984657039711191,2209.00668
42,train-causal-l8-20260914T200350Z-6mmdx9kp,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,4,8,64,20000,balanced,20000,155497,124519,30978,0.6535667225507831,0.0020881357681138647,0.0,0.0,0.5836386435005592,0.0,0.8920759903216324,0.6524507814233553,0.0,0.5839143908580283,0.0,0.8921815481954936,2187.712748
43,train-causal-l8-20260914T204021Z-ix6utpvt,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,4,8,64,50000,uniform,50000,391170,312746,78424,0.6528809311466819,0.00048367559251255777,8.064646203971032e-06,1.1405132037396533e-05,0.5851264793994739,8.064646203971032e-06,0.8995789860126842,0.6546814349263899,0.0,0.584918428760875,0.0,0.901088952361522,2534.11497
44,train-causal-l8-20260914T212237Z-3zdtpyp7,complete,cuda,2.14.0+cu130,13.0,1.0,0.0003,4,8,64,50000,balanced,50000,389995,312064,77931,0.6544837308572778,0.000710988759099705,0.0,0.0,0.5843693351190394,0.0,0.8960957068746969,0.6550123595604991,0.0,0.5847718769534221,0.0,0.8984742913603059,2528.090267
