alpha,window,test_bce,bit_accuracy,exact_word_accuracy,paper_similarity_accuracy
0.25,2,0.6463304670463643,0.6126003210272873,0.0008025682182985554,0.8908507223113965
0.25,4,0.6518834462466438,0.6101926163723916,0.0016051364365971107,0.8756019261637239
0.25,8,0.6601448477521641,0.5898876404494382,0.0008025682182985554,0.8306581059390048
1.0,2,0.6464668301539549,0.6119582664526485,0.0008025682182985554,0.8892455858747994
1.0,4,0.6516014289294056,0.6084269662921349,0.002407704654895666,0.8747993579454254
1.0,8,0.6585148294519722,0.5909309791332263,0.0016051364365971107,0.8370786516853933
4.0,2,0.6465877581084141,0.6121187800963082,0.0008025682182985554,0.8924558587479936
4.0,4,0.6517452923096255,0.6061797752808988,0.002407704654895666,0.8739967897271268
4.0,8,0.6577709497661982,0.5901284109149277,0.0032102728731942215,0.8386837881219904
